Title,Origin_country,Genres,Release_date,n_votes,rating
Black Mirror (TV Series),United Kingdom,tv series,"June 15, 2023","35,863",8.2
Arcane: League of Legends (TV Series),United States,"tv series, animation","November 7, 2021","12,660",8.2
Blue Eye Samurai (TV Series),United States,"tv series, animation","November 3, 2023","4,824",8.1
Our Planet II (TV Miniseries),United Kingdom,"miniseries, documentary","June 14, 2023",383,8.1
Tear Along the Dotted Line (TV Miniseries),Italy,"miniseries, animation","November 17, 2021","7,910",8.1
Monster (TV Series),Japan,"tv series, animation","January 1, 2023","8,680",7.9
This World Can't Tear Me Down (TV Miniseries),Italy,"miniseries, animation","June 9, 2023","2,651",7.8
The Crown (TV Series),United Kingdom,tv series,"November 16, 2023","13,907",7.7
World War II: From the Frontlines (TV Miniseries),United Kingdom,"miniseries, documentary","December 7, 2023",582,7.7
Society Of The Snow,Spain,Drama,"January 4, 2024","33,602",7.6
JoJo’s Bizarre Adventure: Golden Wind (TV Series),Japan,"tv series, animation","October 1, 2023",556,7.6
Predators (TV Series),United States,"tv series, documentary","September 6, 2023",87,7.6
Top Boy (TV Series),United Kingdom,tv series,"September 7, 2023","2,054",7.5
Chimp Empire (TV Miniseries),United Kingdom,"miniseries, documentary","April 19, 2023",278,7.5
Heartstopper (TV Series),United Kingdom,tv series,"August 3, 2023","4,690",7.5
Pluto (TV Miniseries),Japan,"miniseries, animation","October 26, 2023","1,364",7.5
Hilda (TV Series),United Kingdom,"tv series, animation","December 7, 2023",902,7.5
Life on Our Planet (TV Series),United States,"tv series, documentary","October 25, 2023",464,7.4
Violet Evergarden: the Movie,Japan,Animation,"October 13, 2021",436,7.4
Derry Girls (TV Series),United Kingdom,tv series,"October 7, 2022","3,693",7.4
WWII in Color: Road to Victory (TV Series),United Kingdom,"tv series, documentary","December 22, 2021",273,7.4
Oni: Thunder God's Tale (TV Miniseries),Japan,"miniseries, animation","October 21, 2022",336,7.4
Maid (TV Miniseries),United States,miniseries,"October 1, 2021","9,291",7.4
The Greatest Night in Pop,United States,documentary,"January 29, 2024","1,118",7.4
Alchemy of Souls (TV Series),South Korea,tv series,"January 21, 2023",264,7.4
One Piece (TV Series),United States,tv series,"August 31, 2023","5,189",7.4
Sex Education (TV Series),United Kingdom,tv series,"September 21, 2023","19,111",7.4
The Dragon Prince (TV Series),United States,"tv series, animation","November 3, 2022","1,173",7.3
Sunderland 'Til I Die (TV Series),United Kingdom,"tv series, documentary","February 13, 2024",934,7.3
Archer (TV Series),United States,"tv series, animation","December 15, 2023","3,137",7.3
Reign Supreme (TV Series),France,tv series,"November 18, 2022",127,7.3
First Love (TV Miniseries),Japan,miniseries,"November 24, 2022",205,7.3
The Deepest Breath,United Kingdom,documentary,"July 19, 2023","1,493",7.3
Fauda (TV Series),Israel,tv series,"January 20, 2023","2,779",7.3
Last Chance U: Basketball (TV Series),United States,"tv series, documentary","December 13, 2022",465,7.3
Formula 1: Drive to Survive (TV Series),United Kingdom,"tv series, documentary","February 23, 2024","1,735",7.2
Scissor Seven (TV Series),China,"tv series, animation","October 3, 2021",232,7.2
The Summit of the Gods,France,Animation,"November 30, 2021","3,292",7.2
To Kill a Tiger,Canada,documentary,"March 10, 2024",74,7.2
The Billion Dollar Code (TV Miniseries),Germany,miniseries,"October 7, 2021","2,387",7.2
