Title,Origin_country,Genres,Release_date,n_votes,rating
Don't Look Up,United States,Comedy,"December 24, 2021","44,071",6.6
Black Mirror (TV Series),United Kingdom,tv series,"June 15, 2023","35,863",8.2
Money Heist (TV Series),Spain,tv series,"December 3, 2021","35,687",6.9
Society Of The Snow,Spain,Drama,"January 4, 2024","33,602",7.6
The Power of the Dog,Australia,Western,"December 1, 2021","23,872",6.4
Glass Onion: A Knives Out Mystery,United States,Mystery,"December 23, 2022","23,645",6.1
God's Crooked Lines,Spain,Mystery,"December 9, 2022","21,537",6.6
All Quiet on the Western Front,Germany,War,"October 28, 2022","20,836",7.2
Sex Education (TV Series),United Kingdom,tv series,"September 21, 2023","19,111",7.4
The Laws of the Border,Spain,Thriller,"November 22, 2021","17,184",6.8
The Witcher (TV Series),United States,tv series,"July 27, 2023","16,465",6.3
The Killer,United States,Thriller,"November 10, 2023","15,577",6.3
The Hand of God,Italy,Drama,"December 15, 2021","15,001",7.1
The Crown (TV Series),United Kingdom,tv series,"November 16, 2023","13,907",7.7
Leave the World Behind,United States,Mystery,"December 8, 2023","13,229",5.9
Arsène Lupin (TV Series),France,tv series,"October 5, 2023","13,196",6.3
Wednesday (TV Series),United States,tv series,"November 23, 2022","13,098",6.7
Arcane: League of Legends (TV Series),United States,"tv series, animation","November 7, 2021","12,660",8.2
Guillermo del Toro's Pinocchio,United States,Animation,"December 9, 2022","11,812",7.0
Ghostbusters: Afterlife,United States,Fantasy,"September 24, 2023","11,411",6.1
You (TV Series),United States,tv series,"March 9, 2023","11,056",6.3
Elite (TV Series),Spain,tv series,"October 20, 2023","10,547",5.4
Red Notice,United States,Action,"November 12, 2021","10,396",5.3
Maid (TV Miniseries),United States,miniseries,"October 1, 2021","9,291",7.4
Burning Body (TV Miniseries),Spain,miniseries,"September 8, 2023","9,206",6.5
The Guilty,United States,Thriller,"October 1, 2021","9,100",5.6
Monster (TV Series),Japan,"tv series, animation","January 1, 2023","8,680",7.9
Alpha Males (TV Series),Spain,tv series,"February 9, 2024","8,583",6.1
The Pale Blue Eye,United States,Mystery,"January 6, 2023","8,431",5.8
Disenchantment (TV Series),United States,"tv series, animation","September 1, 2023","8,216",6.1
Tear Along the Dotted Line (TV Miniseries),Italy,"miniseries, animation","November 17, 2021","7,910",8.1
"tick, tick... Boom!",United States,Musical,"November 19, 2021","7,867",6.7
Black Mirror: Joan is Awful (TV),United Kingdom,episode,"June 15, 2023","7,628",6.2
The Good Nurse,United States,Thriller,"October 26, 2022","7,281",6.1
Sky Rojo (TV Series),Spain,tv series,"January 13, 2023","7,154",5.3
The Snow Girl (TV Miniseries),Spain,miniseries,"January 27, 2023","6,961",6.0
Black Mirror: Beyond the Sea (TV),United Kingdom,episode,"June 15, 2023","6,825",6.5
Black Mirror: Loch Henry (TV),United Kingdom,episode,"June 15, 2023","6,804",6.4
Big Mouth (TV Series),United States,"tv series, animation","October 20, 2023","6,625",7.1
Narcos: Mexico (TV Series),United States,tv series,"November 5, 2021","6,527",7.0
