Title,Directors,genres,Actors
The Godfather,Francis Ford Coppola,"Drama, Mafia, Crime, 1940s, 1950s, Family Relationships, Cult Movie","Marlon Brando, Al Pacino, James Caan, Robert Duvall, Diane Keaton, John Cazale, Talia Shire, Richard S. Castellano, Sterling Hayden, Gianni Russo, Rudy Bond, John Marley, Richard Conte"
The Godfather: Part II,Francis Ford Coppola,"Drama, Mafia, Crime, Family Relationships, 1910s, 1920s, 1950s, Sequel, Prequel, ""New Years Eve""","Al Pacino, Robert De Niro, Diane Keaton, Robert Duvall, John Cazale, Lee Strasberg, Talia Shire, Gastone Moschin, Michael V. Gazzo, Marianna Hill, Bruno Kirby, Danny Aiello, Harry Dean Stanton"
12 Angry Men,Sidney Lumet,"Drama, Mystery, Courtroom Drama / Lawyers, One Location","Henry Fonda, Lee J. Cobb, Jack Warden, E.G. Marshall, Martin Balsam, Ed Begley, John Fiedler, Robert Webber, Jack Klugman, George Voskovec, Joseph Sweeney, Edward Binns, Billy Nelson, John Savoca, Rudy Bond, James Kelly"
Schindler's List,Steven Spielberg,"Drama, Nazism, Holocaust, Based on a true story, II World War","Liam Neeson, Ben Kingsley, Ralph Fiennes, Caroline Goodall, Jonathan Sagall, Embeth Davidtz, Norbert Weisser, Martin S. Bergmann, Mark Ivanir, Malgorzata Gebel, Shmuel Levy, Michael Schneider, Joachim Paul Assböck"
Witness for the Prosecution,Billy Wilder,"Mystery, Drama, Courtroom Drama / Lawyers","Tyrone Power, Marlene Dietrich, Charles Laughton, Elsa Lanchester, John Williams, ""Una OConnor"", Henry Daniell, Norma Varden, Torin Thatcher, Ian Wolfe, Francis Compton"
City Lights,Charles Chaplin,"Comedy, Romance, Silent Film, Poverty, Romantic Comedy, Comedy-Drama, Disability, Blindness","Charles Chaplin, Virginia Cherrill, Florence Lee, Harry Myers, Allan Garcia, Hank Mann, Jack Alexander, Tom Dempsey, Henry Bergman"
The Shawshank Redemption,Frank Darabont,"Drama, Prison Drama, Friendship, 1940s, 1950s, Cult Movie","Tim Robbins, Morgan Freeman, Bob Gunton, James Whitmore, Gil Bellows, William Sadler, Mark Rolston, Clancy Brown, David Proval, Jeffrey DeMunn, Jude Ciccolella, Don McManus, Alfonso Freeman"
Modern Times,Charles Chaplin,"Comedy, Satire, Comedy-Drama, Social Drama, Job/Employment, Silent Film, Cult Movie","Charles Chaplin, Paulette Goddard, Henry Bergman, Chester Conklin, Stanley Stanford, Hank Mann, Louis Natheaux, Allan Garcia"
The Great Dictator,Charles Chaplin,"Comedy, Satire, Nazism, II World War, Propaganda","Charles Chaplin, Paulette Goddard, Jack Oakie, Reginald Gardiner, Henry Daniell, Carter De Haven, Grace Hayle, Maurice Moscovitch, Billy Gilbert"
Pulp Fiction,Quentin Tarantino,"Thriller, Crime, Ensemble Film, Cult Movie, Black Comedy","John Travolta, Samuel L. Jackson, Uma Thurman, Bruce Willis, Ving Rhames, Harvey Keitel, Tim Roth, Amanda Plummer, María de Medeiros, Eric Stoltz, Rosanna Arquette, Christopher Walken, Paul Calderon"
